tipo_servidor,metodo,media,desvio,throughput
sequencial,GET,0.00029585361480712893,0.0003348765543607717,3380.049963735998
sequencial,POST,0.00014657974243164061,2.3138151529425036e-05,6822.225113858165
sequencial,PUT,0.00025010108947753906,0.0002669365710323754,3998.383222116301
sequencial,DELETE,0.0003075122833251953,0.0002384303884760424,3251.9026205613272
concorrente,GET,0.0006261825561523438,0.0005418372524207891,1596.9783734389277
concorrente,POST,0.000301361083984375,4.642752497250632e-05,3318.278481012658
concorrente,PUT,0.00033533573150634766,4.1224013292887275e-05,2982.086029150373
concorrente,DELETE,0.00034413337707519533,3.3072972163179e-05,2905.850076208951
